steps,total_latency_s,per_step_s,peak_vram_gb
5,1.1976799964904785,0.23953599929809571,8.954670429229736
10,2.135470390319824,0.2135470390319824,8.954670429229736
15,3.088543653488159,0.20590291023254395,8.954670429229736
20,4.0274810791015625,0.20137405395507812,8.954670429229736
30,5.9401161670684814,0.19800387223561605,8.954670429229736
40,7.815126895904541,0.19537817239761351,8.954670429229736
50,9.69282579421997,0.19385651588439942,8.954670429229736
